0.3716	0.0348	0.5936	2.05	3.3	3.6	3
0.1286	0.1008	0.7706	2.15	3.2	3.5	1
0.115	0.8766	0.0084	2.37	3.25	3	2
0.1552	0.7241	0.1207	2.3	3.2	3.1	2
0.0699	0.001	0.9291	2.6	3.3	2.7	3
0.9994	0.0005	0.0002	1.25	5.25	13	1
0.0198	0.9779	0.0023	1.57	3.8	6	2
0.0001	0.9995	0.0003	7	4.33	1.44	2
0.29	0.0006	0.7094	2.6	3.25	2.7	3
0.1808	0.0002	0.819	2.8	3.25	2.5	1
0.8969	0.0995	0.0037	2	3.3	3.8	1
0.792	0.0032	0.2048	2.05	3.3	3.6	3
0.9762	0.0216	0.0021	1.2	6	15	1
0.9907	0.0001	0.0092	2.62	3.25	2.62	1
0.0097	0.0097	0.9806	2.25	3.2	3.25	3
0.4045	0.3644	0.2311	1.95	3.3	4	3
0.0627	0.91	0.0274	2.4	3.25	2.9	2
0.0859	0.0002	0.914	1.57	3.6	6.5	3
0.0316	0.736	0.2324	6	3.75	1.57	1
0.9998	0	0.0001	1.44	4.2	7.5	1
0.0008	0.9985	0.0007	3.75	3.3	2	2
0.1378	0.2738	0.5884	2.62	3.3	2.62	1
0.9419	0.0352	0.023	1.75	3.4	5	1
0.2856	0.3716	0.3428	2.3	3.3	3.1	3
0.9901	0.001	0.0088	1.33	5	9	1
0.9705	0.0162	0.0133	2.37	3.3	3	1
0.9985	0.0012	0.0003	1.72	3.5	5	1
0.9958	0.0012	0.003	2.3	3.3	3.1	1
0.9971	0	0.0029	1.16	7	15	1
0.0059	0.9935	0.0006	6	3.6	1.61	2
0.5224	0.0045	0.4731	1.61	3.5	6.25	3
0.5059	0.4129	0.0812	2.15	3.3	3.4	2
0.9997	0.0001	0.0002	1.53	3.8	6.5	1
0.3542	0.0239	0.6219	2.65	3.2	2.65	1
0.4121	0.0601	0.5278	2.45	3.25	2.87	3
0.9787	0.0017	0.0196	3	3.2	2.4	1
0.0749	0.925	0.0001	1.4	4.5	8	2
0.393	0.2432	0.3637	1.95	3.3	4	2
0.995	0.0022	0.0028	3.75	3.25	2.05	1
0.2685	0.7082	0.0234	3.8	3.3	2	2
0.8634	0.0034	0.1332	1.33	4.75	10	1
0.0383	0.2177	0.7441	3.25	3.3	2.2	3
0.9731	0.0251	0.0018	1.53	3.75	7	1
0.2711	0.0015	0.7274	2.2	3.25	3.3	3
0.0008	0.9988	0.0004	1.66	3.5	5.5	2
0.563	0.3316	0.1053	2.5	3.25	2.8	1
0.33	0.0009	0.6692	1.61	3.6	6	3
0.9533	0.0006	0.0461	3.1	3.3	2.3	1
0.5348	0.4351	0.03	2.9	3.3	2.37	2
0.0033	0.0227	0.974	4	3.4	1.9	3
0.0619	0.6874	0.2507	2.8	3.25	2.5	2
0.9887	0.0035	0.0078	2.4	3.3	3	1
0.9473	0.0001	0.0526	1.72	3.6	4.75	1
0.9751	0.0247	0.0002	1.2	6	15	1
0.5914	0	0.4086	2.4	3.3	2.87	3
0.7415	0.2467	0.0118	2.3	3.3	3.1	1
0.9965	0.0012	0.0023	1.44	4.2	7.5	1
0.4931	0.2449	0.262	1.53	4	6	3
0.0271	0.9702	0.0027	2.3	3.3	3.1	2
0.783	0.2162	0.0008	1.36	4.5	9	1
0.6564	0.0106	0.333	3.5	3.3	2.1	3
0.9752	0.0191	0.0057	2.05	3.3	3.6	1
0.2402	0.0002	0.7596	2.5	3.3	2.75	3
0.0486	0.9283	0.0231	2.4	3.3	2.9	2
0.0066	0.5932	0.4002	2.05	3.3	3.6	2
0.7164	0.2137	0.0699	2.5	3.25	2.8	1
0.9997	0.0002	0.0002	1.28	5.25	11	1
0.1355	0.7296	0.1349	2.9	3.3	2.4	2
0.0008	0.9987	0.0005	2.9	3.3	2.4	2
0.0133	0.0023	0.9843	2.4	3.3	2.9	3
0.9005	0.0079	0.0916	1.61	3.6	5.75	1
0.0002	0.9485	0.0513	2.1	3.3	3.5	2
